iter	Passed	Remaining
0	49	9841
1	78	7756
2	106	7018
3	134	6614
4	169	6602
5	202	6554
6	230	6343
7	260	6243
8	287	6104
9	315	6003
10	347	5968
11	376	5892
12	402	5795
13	429	5707
14	457	5637
15	485	5578
16	518	5584
17	547	5536
18	575	5481
19	603	5431
20	633	5403
21	662	5361
22	698	5373
23	731	5366
24	759	5318
25	788	5273
26	815	5225
27	845	5193
28	877	5175
29	905	5128
30	934	5096
31	961	5049
32	988	5003
33	1019	4975
34	1047	4939
35	1076	4903
36	1104	4866
37	1132	4828
38	1161	4793
39	1196	4787
40	1223	4746
41	1251	4706
42	1279	4670
43	1307	4636
44	1340	4618
45	1368	4582
46	1395	4544
47	1422	4504
48	1451	4472
49	1482	4448
50	1509	4409
51	1537	4375
52	1566	4343
53	1594	4309
54	1626	4288
55	1654	4255
56	1682	4221
57	1710	4187
58	1739	4158
59	1769	4128
60	1797	4096
61	1826	4064
62	1852	4028
63	1880	3996
64	1909	3966
65	1944	3947
66	1971	3914
67	1999	3882
68	2027	3849
69	2057	3821
70	2087	3792
71	2113	3758
72	2142	3728
73	2170	3695
74	2198	3663
75	2226	3632
76	2255	3603
77	2284	3573
78	2313	3542
79	2340	3511
80	2368	3480
81	2398	3451
82	2427	3421
83	2454	3390
84	2482	3358
85	2509	3327
86	2538	3297
87	2568	3268
88	2597	3240
89	2625	3209
90	2653	3178
91	2681	3147
92	2707	3115
93	2736	3085
94	2765	3056
95	2793	3026
96	2822	2997
97	2850	2966
98	2878	2936
99	2909	2909
100	2939	2881
101	2968	2851
102	2995	2820
103	3023	2791
104	3051	2761
105	3086	2736
106	3113	2705
107	3140	2675
108	3169	2646
109	3198	2616
110	3226	2587
111	3257	2559
112	3284	2528
113	3312	2498
114	3339	2468
115	3367	2438
116	3394	2408
117	3429	2383
118	3461	2356
119	3494	2329
120	3524	2300
121	3550	2269
122	3580	2241
123	3610	2212
124	3638	2183
125	3666	2153
126	3694	2123
127	3723	2094
128	3752	2065
129	3781	2036
130	3809	2006
131	3835	1975
132	3864	1946
133	3893	1917
134	3923	1889
135	3953	1860
136	3981	1831
137	4009	1801
138	4036	1771
139	4065	1742
140	4096	1714
141	4126	1685
142	4154	1656
143	4183	1626
144	4212	1597
145	4239	1568
146	4271	1540
147	4299	1510
148	4329	1481
149	4356	1452
150	4385	1422
151	4415	1394
152	4442	1364
153	4470	1335
154	4497	1305
155	4525	1276
156	4555	1247
157	4584	1218
158	4613	1189
159	4643	1160
160	4671	1131
161	4703	1103
162	4736	1075
163	4764	1045
164	4794	1016
165	4822	987
166	4852	958
167	4884	930
168	4911	900
169	4937	871
170	4965	842
171	4994	813
172	5024	784
173	5052	755
174	5081	725
175	5108	696
176	5134	667
177	5163	638
178	5193	609
179	5222	580
180	5250	551
181	5278	522
182	5306	492
183	5334	463
184	5365	435
185	5393	405
186	5421	376
187	5449	347
188	5475	318
189	5502	289
190	5533	260
191	5561	231
192	5588	202
193	5617	173
194	5646	144
195	5674	115
196	5705	86
197	5733	57
198	5763	28
199	5792	0
